,name,type,state,oricodes,total_shootings,ORI7,ACAD_HRS_ADD,FLD_HRS_ADD,OPBUDGET_2019,FLD_HRS_ST,ACAD_HRS_ST,FLD_HRS_TOT,ACAD_HRS_TOT,POPULATION,shootings_per_100k,budget_per_100k
0,Abbeville County Sheriff's Office,sheriff,SC,SC00100,1,SC00100,0,360,2000000.0,0,480,360,480,25000,4.0,8000000.0
1,Aberdeen Police Department,local_police,WA,WA01401,1,WA01401,0,44,6799803.0,528,720,572,720,16827,5.942829975634397,40410073.0968087
2,Abilene Police Department,local_police,TX,TX22101,3,TX22101,372,560,30362070.0,0,728,560,1100,124407,2.4114398707468228,24405435.38546866
4,Adams County Sheriff's Department,sheriff,CO,CO00100,12,CO00100,110,0,32120833.0,24,746,24,856,97633,12.290926223715342,32899565.72060676
6,Aiken County Sheriff's Office,sheriff,SC,SC00200,6,SC00200,0,0,15917850.0,480,480,480,480,172295,3.482399373168113,9238718.477030674
7,Akron Police Department,local_police,OH,OH07701,8,OH07701,200,680,56670000.0,0,740,680,940,195994,4.081757604824637,28914150.433176525
9,Alachua County Sheriff's Office,sheriff,FL,FL00100,4,FL00100,0,823,87361604.0,0,770,823,770,118969,3.362220410359001,73432242.01262514
10,Alamance County Sheriff's Office,sheriff,NC,NC00100,2,NC00100,0,686,25952428.0,0,640,686,640,65316,3.062036866923878,39733645.661093764
11,Alameda County Sheriff's Office,sheriff,CA,CA00100,4,CA00100,400,480,222247928.0,40,664,520,1064,253692,1.5767150718193716,87605414.43955663
12,Alamogordo Police Department,local_police,NM,NM01901,2,NM01901,0,0,7624130.0,368,697,368,697,32126,6.225487144369047,23731961.650999192
15,Albemarle County Police Department,local_police,VA,VA00203,1,VA00203,0,240,18000000.0,480,800,720,800,110065,0.9085540362513062,16353972.65252351
17,Albuquerque Police Department,local_police,NM,NM00101,40,NM00101,512,680,188000000.0,0,677,680,1189,562540,7.110605468055605,33419845.699861344
18,Alexandria Police Department,local_police,LA,LA04001,1,LA04001,154,756,18917000.0,0,496,756,650,45573,2.1942817018848877,41509226.95455642
19,Alexandria Police Department,local_police,VA,VA09900,2,VA09900,0,500,67793778.0,100,480,600,480,158726,1.260033012864937,42711199.17341834
21,Allentown Police Department,local_police,PA,PA03901,4,PA03901,8,0,38670975.0,640,919,640,927,121470,3.2929941549353754,31835823.660163008
22,Amarillo Police Department,local_police,TX,TX18801,16,TX18801,488,560,43953657.0,0,696,560,1184,199654,8.01386398469352,22014914.301742014
23,Amherst County Sheriff's Office,sheriff,VA,VA00500,1,VA00500,0,60,3926379.0,100,930,160,930,31526,3.171985028230667,12454415.403159298
24,Anaheim Police Department,local_police,CA,CA03001,14,CA03001,320,320,153803336.0,600,664,920,984,353676,3.958425225347493,43487071.78321401
26,Anderson County Sheriff's Office,sheriff,SC,SC00400,7,SC00400,0,0,18204260.0,320,480,320,480,207090,3.3801728716982953,8790506.543048916
